124 (4, 4, 1) 266 0.03 98.25
125 (15, 1, 6) 266 0.03 98.28
126 (3, 1, 11) 261 0.03 98.30
127 (4, 5, 99) 255 0.03 98.33
128 (4, 5, 6) 253 0.03 98.36
129 (12, 4, 2) 252 0.03 98.38
130 (7, 1, 2) 244 0.02 98.41
131 (1, 4, 1) 241 0.02 98.43
132 (4, 5, 7) 241 0.02 98.45
133 (4, 5, 4) 229 0.02 98.48
134 (15, 1, 99) 223 0.02 98.50
135 (3, 1, 8) 215 0.02 98.52
136 (18, 8, 2) 215 0.02 98.54
137 (12, 3, 11) 214 0.02 98.56
138 (13, 1, 25) 212 0.02 98.58
139 (12, 3, 2) 211 0.02 98.61
140 (8, 4, 3) 208 0.02 98.63
141 (4, 1, 10) 207 0.02 98.65
142 (13, 2, 3) 200 0.02 98.67
143 (15, 2, 3) 200 0.02 98.69
144 (18, 8, 5) 193 0.02 98.71
145 (8, 2, 1) 189 0.02 98.73
146 (13, 2, 24) 186 0.02 98.74
147 (2, 2, 2) 184 0.02 98.76
148 (13, 1, 20) 181 0.02 98.78
149 (3, 1, 5) 181 0.02 98.80
150 (13, 1, 16) 180 0.02 98.82
151 (13, 1, 9) 179 0.02 98.83
152 (13, 1, 7) 178 0.02 98.85
153 (3, 2, 3) 177 0.02 98.87
154 (18, 5, 4) 176 0.02 98.89
155 (12, 3, 13) 176 0.02 98.90
156 (13, 2, 25) 169 0.02 98.92
157 (13, 1, 29) 167 0.02 98.94
158 (3, 3, 2) 167 0.02 98.96
159 (5, 2, 2) 164 0.02 98.97
160 (4, 1, 6) 164 0.02 98.99
161 (3, 3, 1) 163 0.02 99.00
162 (13, 1, 5) 161 0.02 99.02
163 (1, 3, 99) 160 0.02 99.04
164 (8, 6, 1) 153 0.02 99.05
165 (9, 5, 2) 152 0.02 99.07
166 (50, 1, 5) 149 0.01 99.08
167 (13, 1, 26) 148 0.01 99.10
168 (18, 2, 2) 140 0.01 99.11
169 (13, 1, 6) 138 0.01 99.12
170 (18, 9, 5) 137 0.01 99.14
171 (4, 1, 12) 136 0.01 99.15
172 (13, 1, 2) 135 0.01 99.17
173 (13, 2, 99) 131 0.01 99.18
174 (6, 99, 99) 130 0.01 99.19
175 (18, 2, 6) 129 0.01 99.20
176 (2, 5, 2) 129 0.01 99.22
177 (9, 2, 1) 128 0.01 99.23
178 (3, 4, 4) 125 0.01 99.24
179 (13, 1, 36) 124 0.01 99.25
180 (4, 5, 8) 121 0.01 99.27
181 (5, 3, 1) 120 0.01 99.28
182 (9, 5, 1) 119 0.01 99.29
183 (18, 2, 7) 119 0.01 99.30
184 (15, 1, 4) 118 0.01 99.31
185 (15, 2, 2) 118 0.01 99.33
186 (18, 2, 1) 118 0.01 99.34
187 (5, 4, 3) 114 0.01 99.35
188 (6, 2, 2) 111 0.01 99.36
189 (13, 1, 30) 109 0.01 99.37
190 (11, 2, 1) 108 0.01 99.38
191 (12, 3, 99) 106 0.01 99.39
192 (2, 9, 5) 105 0.01 99.40
193 (5, 1, 4) 105 0.01 99.41
194 (13, 1, 22) 105 0.01 99.42
195 (15, 1, 3) 102 0.01 99.43
196 (18, 18, 1) 102 0.01 99.44
197 (3, 5, 3) 100 0.01 99.45
198 (3, 2, 2) 99 0.01 99.46
199 (3, 4, 5) 97 0.01 99.47
200 (3, 3, 99) 96 0.01 99.48
201 (18, 16, 1) 95 0.01 99.49
202 (13, 1, 27) 94 0.01 99.50
203 (12, 3, 4) 93 0.01 99.51
204 (15, 4, 2) 92 0.01 99.52
205 (3, 5, 1) 92 0.01 99.53
206 (13, 1, 1) 91 0.01 99.54
207 (18, 2, 5) 91 0.01 99.55
208 (18, 5, 3) 89 0.01 99.56
209 (18, 4, 4) 87 0.01 99.57
210 (6, 3, 2) 86 0.01 99.58
211 (3, 5, 4) 84 0.01 99.58
212 (18, 8, 6) 81 0.01 99.59
213 (18, 5, 2) 79 0.01 99.60
214 (4, 5, 3) 79 0.01 99.61
215 (16, 1, 5) 78 0.01 99.62
216 (3, 1, 4) 77 0.01 99.62
217 (6, 4, 1) 74 0.01 99.63
218 (18, 6, 3) 70 0.01 99.64
219 (4, 3, 99) 68 0.01 99.64
220 (15, 3, 1) 68 0.01 99.65
221 (10, 2, 1) 63 0.01 99.66
222 (18, 3, 3) 61 0.01 99.66
223 (5, 3, 4) 61 0.01 99.67
224 (2, 99, 99) 61 0.01 99.68
225 (3, 3, 3) 60 0.01 99.68
226 (15, 6, 2) 58 0.01 99.69
227 (18, 8, 7) 58 0.01 99.69
228 (8, 7, 1) 57 0.01 99.70
229 (13, 1, 13) 56 0.01 99.70
230 (18, 10, 1) 55 0.01 99.71
231 (4, 1, 2) 53 0.01 99.72
232 (9, 99, 99) 51 0.01 99.72
233 (13, 2, 19) 51 0.01 99.73
234 (4, 4, 5) 51 0.01 99.73
235 (10, 1, 3) 48 0.00 99.74
236 (18, 18, 99) 47 0.00 99.74
237 (50, 1, 7) 47 0.00 99.74
238 (3, 5, 2) 47 0.00 99.75
239 (5, 2, 1) 46 0.00 99.75
240 (3, 4, 2) 46 0.00 99.76
241 (8, 2, 2) 46 0.00 99.76
242 (4, 4, 4) 46 0.00 99.77
243 (7, 2, 1) 45 0.00 99.77
244 (4, 2, 1) 45 0.00 99.78
245 (18, 10, 2) 45 0.00 99.78
246 (8, 5, 2) 45 0.00 99.79
247 (16, 1, 6) 43 0.00 99.79
248 (13, 2, 16) 42 0.00 99.79
249 (4, 1, 5) 42 0.00 99.80
250 (6, 1, 3) 41 0.00 99.80
251 (4, 5, 5) 41 0.00 99.81
252 (18, 3, 2) 40 0.00 99.81
253 (18, 3, 4) 40 0.00 99.81
254 (15, 6, 99) 39 0.00 99.82
255 (1, 2, 99) 39 0.00 99.82
256 (4, 1, 11) 38 0.00 99.83
257 (8, 4, 2) 38 0.00 99.83
258 (13, 1, 10) 38 0.00 99.83
259 (15, 1, 5) 37 0.00 99.84
260 (3, 4, 3) 37 0.00 99.84
261 (13, 2, 29) 37 0.00 99.84
262 (13, 3, 1) 37 0.00 99.85
263 (13, 1, 8) 36 0.00 99.85
264 (18, 15, 99) 35 0.00 99.86
265 (4, 4, 3) 35 0.00 99.86
266 (15, 4, 99) 34 0.00 99.86
267 (4, 1, 99) 32 0.00 99.87
268 (13, 2, 26) 32 0.00 99.87
269 (18, 2, 3) 32 0.00 99.87
270 (14, 1, 3) 32 0.00 99.88
271 (18, 9, 1) 32 0.00 99.88
272 (15, 2, 99) 31 0.00 99.88
273 (18, 4, 3) 31 0.00 99.88
274 (6, 4, 99) 31 0.00 99.89
275 (6, 2, 1) 30 0.00 99.89
276 (6, 1, 99) 29 0.00 99.89
277 (7, 1, 5) 29 0.00 99.90
278 (2, 4, 99) 28 0.00 99.90
279 (3, 2, 99) 28 0.00 99.90
280 (5, 99, 99) 27 0.00 99.91
281 (13, 2, 27) 26 0.00 99.91
